"school","type","group"
"APPOQUINIMINK HIGH SCHOOL","r",1
"APS ONLINE SCHOOL","r",0
"ARCADIA HIGH SCHOOL","r",4
"ATASCADERO HIGH","r",0
"ATHENS HIGH","r",0
"ATHOL HIGH","r",0
"AZLE H S","r",2
"BANKS COUNTY HIGH SCHOOL","r",2
"BARABOO HIGH","r",1
"BARBERS HILL H S","r",2
"BARNES COUNTY NORTH HIGH SCHOOL","r",4
"BASTROP H S","r",2
"BATESVILLE HIGH SCHOOL","r",0
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","r",5
"BEGGS HS","r",4
"BELLPORT SENIOR HIGH SCHOOL","r",2
"BELTON H S","r",3
"BERRYVILLE HIGH SCHOOL","r",5
"BIG PINEY HIGH SCHOOL","r",1
"BINGHAMTON HIGH SCHOOL","r",7
"BLUE RIDGE H S","r",2
"BONNEY LAKE HIGH SCHOOL","r",3
"BORGER H S","r",3
"BOWLEGS HS","r",1
"BREMOND H S","r",4
"BRINDLEE MT HIGH SCH","r",2
"BROOKFIELD HIGH","r",4
"BUTLER HIGH SCHOOL","r",4
"BYRON NELSON H S","r",3
"CABOOL HIGH","r",3
"CALERA HIGH SCH","r",3
"CALHOUN HIGH SCHOOL","r",4
"CARMEL HIGH SCHOOL","r",0
"CARROLLTON HIGH SCHOOL","r",4
"CEDAR CITY HIGH","r",4
"CEDAR GROVE-BELGIUM HIGH","r",2
"CELINA H S","r",2
"CENTRAL HIGH SCHOOL","r",3
"CENTRALIA HIGH","r",6
"CENTURY HIGH","r",1
"CHANHASSEN HIGH SCHOOL","r",5
"CHASE HIGH","r",3
"CHILLICOTHE HIGH","r",5
"CHRISTIANSBURG HIGH","r",4
"CIMARRON HS","r",1
"CLEAR BROOK H S","r",2
"CLEARWATER HIGH","r",3
"COE-BROWN NORTHWOOD ACADEMY","r",3
"COLCHESTER HIGH SCHOOL","r",0
"COLUMBIA HIGH SCHOOL","r",4
"COMO PARK SENIOR HIGH","r",0
"CONNALLY HIGH SCHOOL","r",1
"CORNWALL CENTRAL HIGH SCHOOL","r",1
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","r",3
"CREEKVIEW H S","r",5
"CUBA HIGH","r",5
"CURRITUCK COUNTY HIGH","r",2
"DANVERS HIGH","r",5
"DAPHNE HIGH SCH","r",2
"DARLINGTON HIGH","r",4
"DAVID PROUTY HIGH","r",5
"DAWSON HIGH SCHOOL","r",1
"DEL MAR HIGH","r",4
"DEPEW HIGH SCHOOL","r",3
"DEXTER HIGH","r",0
"DODGEVILLE HIGH","r",0
"DOUGLAS HIGH SCHOOL","r",4
"DOVER HS","r",3
"EAST COWETA HIGH SCHOOL","r",5
"EAST HAMPTON HIGH SCHOOL","r",3
"EAST HIGH","r",0
"EAST LAURENS HIGH SCHOOL","r",4
"EASTERN HIGH SCHOOL","r",2
"ELGIN HS","r",2
"ELKO HIGH SCHOOL","r",4
"ELSBERRY HIGH","r",4
"EMPORIA HIGH","r",11
"EXCELSIOR SPRINGS HIGH","r",6
"FLOYD HIGH","r",2
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","r",2
"FONTANA A. B. MILLER HIGH","r",1
"FONTANA HIGH","r",1
"FREEPORT AREA SHS","r",3
"FRONTENAC SR. HIGH SCHOOL","r",9
"FRUITVALE H S","r",2
"G.F.W. HIGH SCHOOL","r",4
"GATEWAY HIGH SCHOOL","r",3
"GEORGE MASON HIGH","r",9
"GIRARD HS","r",2
"GLASGOW HIGH SCHOOL","r",4
"GLEN ROSE H S","r",2
"GOSHEN CENTRAL HIGH SCHOOL","r",6
"GRANBURY H S","r",4
"GRAND LEDGE HIGH SCHOOL","r",2
"GRANDVIEW SR. HIGH","r",6
"GRANTSBURG HIGH","r",3
"GRIFFIN HIGH SCHOOL","r",4
"GUYMON HS","r",2
"HALLSVILLE H S","r",2
"HAMILTON HIGH SCHOOL","r",1
"HANOVER HIGH","r",3
"HARLOWTON HIGH SCHOOL","r",1
"HART HIGH SCHOOL","r",3
"HENRIETTA H S","r",2
"HICKSVILLE HIGH SCHOOL","r",3
"HIGLEY HIGH SCHOOL","r",6
"HILLDALE HS","r",3
"HILLIARD BRADLEY HIGH SCHOOL","r",6
"HINTON HS","r",2
"HOMINY HS","r",2
"HORIZON HIGH SCHOOL","r",0
"HORLICK HIGH","r",5
"HORN H S","r",4
"HOWE HS","r",0
"HUDSON HIGH","r",0
"HUNTLEY PROJECT HIGH SCHL","r",1
"IGNACIO HIGH SCHOOL","r",5
"ILLINOIS VALLEY HIGH SCHOOL","r",1
"INDEPENDENCE HIGH SCHOOL","r",4
"IRAAN H S","r",1
"IRONTON HIGH SCHOOL","r",3
"IRVINE HIGH","r",3
"JACKSON HOLE HIGH SCHOOL","r",0
"JEFFERSON HIGH","r",3
"JERICHO SENIOR HIGH SCHOOL","r",0
"JOSEPH CASE HIGH","r",3
"JUDITH GAP HIGH SCHOOL","r",3
"JULIAN HIGH","r",3
"KALKASKA HIGH SCHOOL","r",2
"KENYON-WANAMINGO SENIOR HIGH","r",2
"KETCHUM HS","r",4
"KEYSTONE HIGH SCHOOL","r",3
"LA FERIA H S","r",2
"LA JOLLA HIGH","r",3
"LAINGSBURG HIGH SCHOOL","r",2
"LANDER VALLEY HIGH SCHOOL","r",3
"LATHROP HIGH","r",2
"LATHROP HIGH SCHOOL","r",4
"LATTA HS","r",2
"LAUREL HIGH SCHOOL","r",1
"LAWSON HIGH","r",3
"LEAVENWORTH SR HIGH","r",4
"LEBANON HIGH SCHOOL","r",4
"LEBANON SR. HIGH","r",2
"LEHIGH SENIOR HIGH SCHOOL","r",1
"LEOMINSTER HIGH SCHOOL","r",6
"LEVERETTS CHAPEL H S","r",2
"LINCOLN SENIOR HIGH SCHOOL","r",4
"LITTLE MIAMI HIGH SCHOOL","r",3
"LOMPOC HIGH","r",4
"LONGMONT HIGH SCHOOL","r",3
"LOUISIANA HIGH","r",2
"LOVELL HIGH SCHOOL","r",1
"LURAY HIGH","r",4
"LYNNVILLE-SULLY HIGH SCHOOL","r",3
"LYONS SENIOR HIGH SCHOOL","r",3
"MACON SR. HIGH","r",2
"MADRAS HIGH SCHOOL","r",2
"MARATHON HIGH","r",3
"MARINETTE HIGH","r",3
"MARTINSVILLE HIGH","r",1
"MAY-PORT CG HIGH SCHOOL","r",5
"MCGREGOR H S","r",2
"MCLOUTH HIGH","r",2
"MEMORIAL HS","r",3
"MIDDLE CREEK HIGH","r",5
"MIDLAND H S","r",2
"MILLER PLACE HIGH SCHOOL","r",3
"MILTON HIGH","r",1
"MIRA MESA HIGH","r",2
"MOHONASEN SENIOR HIGH SCHOOL","r",3
"MONROE-WOODBURY HIGH SCHOOL","r",3
"MONTE VISTA HIGH","r",8
"MOORE HS","r",2
"MORENCI HIGH SCHOOL","r",5
"MOUNDS HS","r",1
"MOUNTAIN VIEW HIGH SCHOOL","r",3
"NANTUCKET HIGH","r",3
"NASHOBA REGIONAL","r",0
"NELSON COUNTY HIGH","r",2
"NEVADA HIGH SCHOOL","r",2
"NEW LONDON HIGH","r",6
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","r",2
"NEX GEN ACADEMY","r",0
"NISKAYUNA HIGH SCHOOL","r",3
"NORTH ANDREW HIGH","r",1
"NORTH CARROLL HIGH","r",0
"NORTH FORT MYERS HIGH SCHOOL","r",2
"NORTH HS","r",3
"NORTHBRIDGE HIGH","r",3
"NORTHGLENN HIGH SCHOOL","r",3
"OAK CREEK HIGH","r",4
"OAK GROVE HIGH","r",3
"OAKDALE HIGH","r",5
"OLTON H S","r",2
"OMRO HIGH","r",4
"ONTARIO HIGH SCHOOL","r",2
"OOLOGAH-TALALA HS","r",4
"PALACIOS H S","r",2
"PARK HILL HIGH","r",4
"PARK VISTA COMMUNITY HIGH SCHOOL","r",2
"PEKIN COMMUNITY HIGH SCHOOL","r",2
"PELLA HIGH SCHOOL","r",3
"PENTUCKET REGIONAL SR HIGH","r",1
"PERRY CENTRAL HIGH SCHOOL","r",4
"PIEDMONT HS","r",3
"PIERCE COUNTY HIGH SCHOOL","r",2
"PINE BUSH SENIOR HIGH SCHOOL","r",0
"PITTSFIELD HIGH SCHOOL","r",0
"PLAINWELL HIGH SCHOOL","r",0
"PLATTE CANYON HIGH SCHOOL","r",4
"PLEASANT GROVE H S","r",4
"PLYMOUTH-WHITEMARSH SHS","r",1
"PORT JERVIS SENIOR HIGH SCHOOL","r",3
"PORTSMOUTH HIGH SCHOOL","r",1
"POWDER RIVER CO DIST HIGH","r",2
"PRIOR LAKE HIGH SCHOOL","r",7
"QUANAH H S","r",4
"QUEEN CITY H S","r",4
"QUINCY HIGH","r",4
"RAINIER SENIOR HIGH SCHOOL","r",4
"RANCHO BUENA VISTA HIGH","r",4
"RANCHO VERDE HIGH","r",3
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","r",3
"RED RIVER HIGH SCHOOL","r",9
"RHAM HIGH SCHOOL","r",6
"RICE LAKE HIGH","r",3
"RIO RANCHO HIGH","r",3
"RIVERDALE HIGH SCHOOL","r",1
"ROBERTSDALE HIGH SCH","r",4
"ROGERS H S","r",4
"ROSEMONT HIGH","r",3
"RUSK H S","r",2
"SALIDA HIGH SCHOOL","r",0
"SAN JON HIGH","r",3
"SAUK PRAIRIE HIGH","r",4
"SAVAGE HIGH SCHOOL","r",1
"SAYRE HS","r",3
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","r",4
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","r",4
"SHADOW HILLS HIGH","r",0
"SHAWANO HIGH","r",4
"SHELBY CO HIGH SCH","r",2
"SHERIDAN HIGH SCHOOL","r",4
"SIMSBURY HIGH SCHOOL","r",3
"SINTON H S","r",2
"SKIATOOK HS","r",3
"SLEEPY HOLLOW HIGH SCHOOL","r",5
"SOMERSET HIGH","r",4
"SOROCO HIGH SCHOOL","r",0
"SOUTH ALBANY HIGH SCHOOL","r",4
"SOUTH CENTRAL CALHOUN HIGH SCHOOL","r",0
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","r",0
"SOUTH JEFFERSON HIGH SCHOOL","r",3
"SOUTH SENIOR HIGH","r",0
"SOUTHERN COLUMBIA HS","r",2
"SPAULDING UHSD #41","r",0
"SPENCER HIGH SCHOOL","r",3
"SPENCERPORT HIGH SCHOOL","r",3
"SUTTON HIGH SCHOOL","r",0
"SYMMES VALLEY HIGH SCHOOL","r",3
"TACONIC HIGH","r",5
"TARKINGTON H S","r",1
"TATUM H S","r",1
"TEAGUE H S","r",4
"TEXAS H S","r",3
"TGU-GRANVILLE HIGH SCHOOL","r",4
"THOMAS JEFFERSON HIGH SCHOOL","r",3
"THUNDER RIDGE HIGH SCHOOL","r",6
"TIPTON HIGH SCHOOL","r",4
"TOMAHAWK HIGH","r",5
"TURNERS FALL HIGH","r",1
"TURPIN HS","r",2
"TWIN VALLEY HIGH SCHOOL","r",3
"UNION HIGH SCHOOL","r",0
"UNIONVILLE-SEBEWAING HIGH SCHOOL","r",2
"WACONIA SENIOR HIGH","r",8
"WALPOLE HIGH","r",8
"WARRENTON HIGH SCHOOL","r",5
"WASHINGTON HIGH","r",0
"WAYZATA HIGH","r",0
"WEATHERFORD H S","r",3
"WELDON VALLEY HIGH SCHOOL","r",2
"WEST DELAWARE HIGH SCHOOL","r",3
"WEST HEMPSTEAD HIGH SCHOOL","r",2
"WEST ISLIP SENIOR HIGH SCHOOL","r",2
"WEST SENECA EAST SENIOR HIGH SCHOOL","r",5
"WEST STOKES HIGH","r",3
"WESTHILL HIGH SCHOOL","r",2
"WESTON HIGH","r",0
"WESTON RANCH HIGH","r",4
"WHARTON H S","r",2
"WHITMAN HANSON REGIONAL","r",1
"WINDTHORST H S","r",0
